Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4W,5W
S Sreesanth (Kochi/KXIP/RR),2008-2013,44,44,880,146.4,4,1190,40,Mar-29,29.75,8.11,22,-,-
P Awana (KXIP),2012-2014,33,33,747,124.3,2,1029,39,Apr-34,26.38,8.26,19.15,1,-
DT Christian (DC/DCH/RCB/RPS),2011-2021,49,49,883,147.1,-,1192,38,02-Oct,31.36,8.09,23.23,-,-
PJ Sangwan (DC/GL/GT/KKR/MI),2008-2022,42,42,856,142.4,1,1240,38,Mar-18,32.63,8.69,22.52,-,-
GJ Maxwell (DC/KXIP/MI/PBKS/RCB),2012-2025,135,80,956,159.2,1,1329,38,Feb-15,34.97,8.34,25.15,-,-
DE Bollinger (CSK),2010-2012,27,27,576,96,3,693,37,Apr-13,18.72,7.21,15.56,1,-
MR Marsh (DC/DCH/LSG/PWI/RPS/SRH),2010-2025,43,34,560,93.2,1,795,37,Apr-25,21.48,8.51,15.13,2,-
JR Hazlewood (CSK/RCB),2020-2025,28,28,627,104.3,1,832,37,Apr-25,22.48,7.96,16.94,1,-
MM Ali (CSK/KKR/RCB),2018-2025,68,53,782,130.2,-,916,37,Apr-26,24.75,7.02,21.13,1,-
M Markande (MI/RR/SRH),2018-2024,37,37,720,120,-,1069,37,Apr-15,28.89,8.9,19.45,2,-
